MOVIE,DIRECTOR,ACTOR,GENRE
Stargate,Roland Emmerich,"Kurt Russell, James Spader, Jaye Davidson, Viveca Lindfors","Action, Adventure, Sci-Fi"
Maverick,Richard Donner,"Mel Gibson, Jodie Foster, James Garner, Graham Greene","Action, Adventure, Comedy"
Dragon: The Bruce Lee Story,Rob Cohen,"Jason Scott Lee, Lauren Holly, Robert Wagner, Michael Learned","Action, Biography, Drama"
Juice,Ernest R. Dickerson,"Omar Epps, Tupac Shakur, Jermaine Hopkins, Khalil Kain","Action, Crime, Drama"
The Last Boy Scout,Tony Scott,"Bruce Willis, Damon Wayans, Chelsea Field, Noble Willingham","Action, Comedy, Crime"
The Spy Who Loved Me,Lewis Gilbert,"Roger Moore, Barbara Bach, Curd Jürgens, Richard Kiel","Action, Adventure, Thriller"
The Towering Inferno,John Guillermin,"Paul Newman, Steve McQueen, William Holden, Faye Dunaway","Action, Drama, Thriller"
Thunderbolt and Lightfoot,Michael Cimino,"Clint Eastwood, Jeff Bridges, George Kennedy, Geoffrey Lewis","Action, Comedy, Crime"
The War of the Worlds,Byron Haskin,"Gene Barry, Ann Robinson, Les Tremayne, Robert Cornthwaite","Action, Sci-Fi, Thriller"
Outlaw King,David Mackenzie,"Chris Pine, Stephen Dillane, Rebecca Robin, Billy Howle","Action, Biography, Drama"
Dragged Across Concrete,S. Craig Zahler,"Mel Gibson, Vince Vaughn, Tory Kittles, Michael Jai White","Action, Thriller"
The Night Comes for Us,Timo Tjahjanto,"Iko Uwais, Joe Taslim, Julie Estelle, Hannah Al Rashid","Action, Thriller"
Solo: A Star Wars Story,Ron Howard,"Alden Ehrenreich, Woody Harrelson, Emilia Clarke, Donald Glover","Action, Adventure, Sci-Fi"
Fan,Maneesh Sharma,"Shah Rukh Khan, Shriya Pilgaonkar, Sayani Gupta, Waluscha De Sousa","Action, Drama, Thriller"
X-Men: Apocalypse,Bryan Singer,"James McAvoy, Michael Fassbender, Jennifer Lawrence, Nicholas Hoult","Action, Adventure, Sci-Fi"
Slow West,John Maclean,"Kodi Smit-McPhee, Caren Pistorius, Aorere Paki, Jeffrey Thomas","Action, Adventure, Drama"
Game Night,"John Francis Daley, Jonathan Goldstein","Jason Bateman, Rachel McAdams, Kyle Chandler, Sharon Horgan","Action, Adventure, Comedy"
Star Wars: Episode VIII - The Last Jedi,Rian Johnson,"Daisy Ridley, John Boyega, Mark Hamill, Carrie Fisher","Action, Adventure, Fantasy"
Jumanji: Welcome to the Jungle,Jake Kasdan,"Dwayne Johnson, Karen Gillan, Kevin Hart, Jack Black","Action, Adventure, Comedy"
Love and Monsters,Michael Matthews,"Dylan O'Brien, Jessica Henwick, Michael Rooker, Dan Ewing","Action, Adventure, Comedy"
Non-Stop,Jaume Collet-Serra,"Liam Neeson, Julianne Moore, Scoot McNairy, Michelle Dockery","Action, Mystery, Thriller"
