MOVIE,DIRECTOR,ACTOR,GENRE
Raid,S.P. Karthi,Vikram Prabhu,"Action, Thriller"
Ayothi,R. Manthira Moorthy,M. Sasikumar,"Family, Drama"
Kick,Prashanth Raj,Santhanam,"Romance, Action, Comedy"
Ratham,C. S. Amudhan,Vijay Antony,"Crime, Thriller"
The Road,Arun Vaseegaran,Trisha Krishnan,"Thriller, Drama"
Aalambana,Pari K. Vijay,Vaibhav Reddy,"Fantasy, Comedy"
800,M. S. Sripathy,Madhur Mittal,Drama
Margazhi Thingal,Manoj Bharathiraja,Shyaam Selvan,"Drama, Family, Romance"
Partner,Manoj Damodharan,Aadhi Pinisetty,"Comedy, Science Fiction"
Aneethi,Vasanthabalan,Arjun Das,"Thriller, Drama"
Angaaragan,Mohan Dachu,Sreepathy K A,"Horror, Thriller"
Are You Ok Baby?,Lakshmi Ramakrishnan,Samuthirakani,"Drama, Family"
Kida,Ra Venkat,Kaali Venkat,"Drama, Family"
Kaadapura Kalaikuzhu,Raja Gurusamy,Hari Krishnan,"Drama, Romance, Comedy"
Kannai Nambathe,Mu. Maran,Udhayanidhi Stalin,"Crime, Thriller, Action"
Vizhithelu,A. Tamil Selvan,Ashok Kumar Balakrishnan,"Crime, Thriller"
Sawadikap Pei,Roman Anthony,Gana,"Comedy, Horror"
Demon,Ramesh Pazhaniivel,Sachin Mani,"Horror, Thriller"
Sooragan,Sathish Geetha Kumar,Karthikeyan Vinayagam,"Crime, Action, Thriller"
Kannitheevu,Sundar Balu,Varalaxmi Sarathkumar,"Thriller, Mystery"
Dear Death,Unknown,Santhosh Prathap,"Drama, Thriller, Fantasy"
En 6 Vaathiyaar Kaalpanthatta Kuzhu,S Hari Uthraa,S.Sharath Kumar,Drama
Paayum Oli Nee Yenakku,Karthik Adwait,Vikram Prabhu,"Thriller, Romance, Action"
Adiyae!,Vignesh Karthik,G. V. Prakash Kumar,"Science Fiction, Romance, Comedy"
Adai Mazhai Kaalam,Karthik Shamalan,Loga Varman Strideran,"Drama, Romance"
Erumbu,Suresh G,Monekha Siva,"Drama, Family"
"August 16, 1947",NS. Ponkumar,Gautham Karthik,"Action, Drama"
Infinity,Sai Karthik Sundaram,Natarajan Subramaniam,"Crime, Thriller"
Yaadhum Oore Yaavarum Kelir,Venkata Krishna Roghanth,Vijay Sethupathi,"Drama, Action"
Rajakili,Thambi Ramaiah,Samuthirakani,"Drama, Family"
Aghori,D.S. Rajkumar,Sidhu Sid,"Horror, Action"
Blue Sunshine,Samyuktha Vijayan,Samyuktha Vijayan,Drama
Mohammad Saadh,Sheik Althaf Hussain,Mohammad Saadh,Drama
Ripupbury,Na. Arun Karthik,Mahendran,"Comedy, Horror"
Haiku Love,Rajesh Rajamani,Regin Rose,"Romance, Comedy"
Sathiya Sothanai,Suresh Sangaiah,Premji Amaran,"Comedy, Drama, Crime"
Sync,Vikas Anand Sridharan,Kishen Das,"Drama, Horror"
Regina,Domin D'Silva,Sunaina,"Thriller, Crime"
Memories,Praveen Murugan,Vetri,"Thriller, Mystery"
Miriam Maa,Malathy Narayan,Rekha,"Family, Drama"
Maruthi Nagar Police Station,Dayal Padmanabhan,Varalaxmi Sarathkumar,"Crime, Action, Thriller"
Dhillu Irundha Poradu,S. K. Muralidharan,Karthik Doss,Drama
Karumegangal Kalaiginrana,Thangar Bachan,Bharathiraja,Drama
Love,R. P. Bala,Bharath Srinivasan,"Romance, Thriller"
Kuiko,Arul Chezhiyan,Vidharth,"Drama, Family"
80's Buildup,Kalyaan,Santhanam,"Comedy, Romance"
Jambu Maharishi,Balaji poobalan,Balaji poobalan,Drama
License,Ganapathy Balamurugan,Rajalakshmi Senthil Ganesh,Drama
1000,Vidhun Chandragupthan,Mukesh,"Crime, Comedy"
Kalluri Rascals,Shaswin Raj,Ganessan Manogharan,Action
Shoot the Kuruvi,Mathivanan,Arjai,"Comedy, Crime"
Vaazhvu Thodangumidam Neethanae,Jeyaraj Palani,Suruthi Periyasamy,Drama
Kannagi,Yashwanth Kishore,Keerthi Pandian,Drama
Thudikkum Karangal,Veludoss,Vimal,"Action, Thriller"
Vattara Vazhakku,Kannuchamy Ramachandran,Raveena Ravi,Drama
Soorpanagai,Caarthick Raju,Regina Cassandra,"Mystery, Thriller"
Home Tour - A Bachelor Party,VJ Sidhu,VJ Sidhu,Comedy
Karparaa,Vignesh Kumulai,Sundharammal,Drama
Moothakudi,Ravi Pargavan,Tarun Gopi,"Action, Family"
Trap,Mukesh,Mukesh,"Thriller, Mystery, Horror"
Burqa,K. M. Sarjun,Kalaiyarasan,Drama
Harkara,Ram Arun Castro,Ram Arun Castro,"History, Drama"
Naadu,M. Saravanan,Tharshan Thiyagarajah,Drama
Unnaal Ennaal,A.R.Jayakrishnaa,Sonia Agarwal,
Bakasuran,Mohan G,Selvaraghavan,"Thriller, Drama"
Appatha,Priyadarshan,Urvashi,"Drama, Family, Comedy"
Odavum Mudiyadhu Oliyavum Mudiyadhu,Ramesh Venkat,Sathyamurthi .V,"Horror, Action, Comedy"
Bommai,Radha Mohan,S. J. Suryah,"Drama, Romance, Thriller"
Om Vellimalai,Om Vijay,Supergood Subramani,"Drama, Comedy"
Raakadhan,Dinesh Kalaiselvan,Vamsi Krishna,"Crime, Thriller"
Die No Sirs,M.R. Madhavan,Udhay Karthik,"Action, Drama"
Jigiri Dosthu,Aran V,Shariq Hassan,"Thriller, Comedy"
Vinveli Devathai,Shalini Balasundaram,Shalini Balasundaram,"Comedy, Romance"
Aadhitya Arunachalam,Ben G,Gaffar,"Action, Drama"
Ulagammai,Jayaprakash Veerapan,G. Marimuthu,
Kapil Returns,Srini Soundarajan,Srini Soundarajan,Drama
Veeman,Keera,Vijay Karthik,"Drama, Thriller"
Kadavulukku Oru Kaditham,Abu Baker Siddiq,Sasitharan K. Rajoo,"Comedy, Crime"
Deiva Machan,Martyn Nirmal Kumar,Vimal,"Family, Fantasy, Drama"
Akku,Stalin V,Prajin Padmanabhan,"Thriller, Crime, Horror"
Rajamagal,I. Henry,Aadukalam Murugadoss,"Drama, Family"
Vil Vithai,S Hari Uthraa,Arun Micheal Daniel,Thriller
Thee Ivan,T. M. Jayamurugan,Karthik Muthuraman,"Family, Drama"
Maya Bazaar,Deepban M. Vignesh,Thevaguru Suppiah,"Family, Comedy, Romance"
A Fly Floating In The Midst Of The Milk,Lingeshwer S,Sathya Kanagavel,"Drama, Thriller"
Web,N Haroon,Natarajan Subramaniam,Thriller
Sand,Visakesa Chandrasekaram,Sivakumar Lingeswaran,Drama
Echo,Nawin Ghanesh,Srikanth,"Thriller, Horror"
Va Varalam Va,Suresh Babu .R,Balaji Murugadoss,"Comedy, Thriller, Drama"
Mathimaran,Mantra Veerapandian,Ivana,"Crime, Drama"
The Copper Story: Untold,Latha Krishna,unknown,
Maalai Nera Malipoo,Sanjay Narayanan,Vinithra Madhavan Menon,Drama
Saandrithazh,J.V.R,Harikumar,"Drama, Thriller"
Locker,Rajasekar Natarajan,Vignesh Shanmugam,"Romance, Thriller"
Do Over,Sharvi,Maanav,Drama
Thalli Pogathey,Guna Jayakumar,Thevaguru Suppiah,"Drama, Romance, Music"
Thuritham,V. Srinivasan,Sandiyar Jegan,"Thriller, Romance"
Bell,R. Vengat Bhuvan,Guru Somasundaram,"Mystery, Thriller"
The Happening: Scuffle,Jaidev,Jaidev,"Thriller, Science Fiction, Horror"
Black 'n' White,S. Dheekshi,Karthik Raj,Drama
Aayiram Porkaasugal,Ravi Murukaya,Vidharth,"Comedy, Romance, Drama"
Kabadi Bro,Sathish Jayaraman,Sujann Chandru,
Kaaval The Movie,R. Lawrence,R. Lawrence,"Crime, Drama"
Club House,Amin,Deisho Sivabaalan,"Action, Thriller"
Marakkave Ninaikiren,Nava Yugan A A,Rishikanth,"Drama, Romance"
Aathmika,Unknown,unknown,"Horror, Thriller"
BOYS,Saran,Saran,"Comedy, Crime, Thriller"
Aagayam Tholaindhu Pogum,Akilash Sooravally,Sanjoey,Romance
Yokkiyan,Saipraba Meena,Jai Akash,Thriller
Theedhum Soodhum Endhan Mugavari,Ghitha Mohhan,Sreekumar Jay,"Crime, Thriller"
Pudhu Vedham,Rasavikram,J Vignesh,Drama
Sila Nodigalil,Vinay Bharadwaj,Richard Rishi,"Mystery, Drama, Thriller"
GR3Y,Nishanth Manisekar,Kuldeep Kolle,"Mystery, Thriller, Fantasy"
Noodles,Madhan Kumar Dhakshinamoorthy,Harish Uthaman,Thriller
Kadamai,Fleming christy,Nitish,Drama
Kuttrappinnani,N.P. Ismail,Saravanan,
Addiction,Vidhun Chandragupthan,Mukesh,Drama
Siruvan Samuel,Sadhu Burlington,Ajidhan Thavasimuthu,"Family, Drama"
Seri... Ippo Enna Panlam?,Sriram Jagathisan,Sharath Venkateswaran,Comedy
Striker,S. A. Prabu,Justin Vijay,"Horror, Thriller"
1982 Anbarasin Kaadhal,Ullas Shankar,Ashik Merlin,"Romance, Thriller"
Maatrangale Vidai,Vignesh,Mithran,"Music, Drama"
Aramudaitha Kombu,Jackson Raj,A.K Anand,Drama
Prisoners,Koshal Ram Vaikunth,Ashwin Kumar,Drama
Today's Sunlight Falls Weakly on You,Lim Yuzheng,Sithira Thevi,
Jai Vijayam,Jai Akash,Jai Akash,Thriller
Racer,Satz Rex,Akil Santhosh,"Action, Drama"
Enaku Endey Kidaiyaathu,Vikram Ramesh,Vikram Ramesh,"Mystery, Thriller"
Thiraiyin Marupakkam,Nitin Samson,Mohammed Ghouse,"Comedy, Drama"
Abijith's Alone,Abijith Jay,Abijith Jay,Drama
Kidugu,veera murugan,Kalloori Vinoth,
Aima,Rahul R Krishna,Yunus Mohammed,"Thriller, Mystery"
Diary,Vathani Kunasegarran,Ravin Rao Santeran,"Horror, Mystery"
Naayaadi,Aadharsh Madhikaandham,Aadharsh Madhikaandham,
Bumper,M. Selvakumar,Vetri,"Drama, Action, Comedy"
Route No 17,Unknown,unknown,
STRIKER'S GAME,Praneet Raj,Saran,"Crime, Comedy, Drama"
Oongi Adicha Ondra Ton Weightu Da,Siva G,Siva G,"Crime, Drama"
Anbendraale Amma,Shafiq,Mukesh,"Family, Drama"
Ninaivo Oru Paravai,Kabilan Plondran,Karnan Kanapathy,
Rider Rukmani,Guhan,Jesey Rukkmani,Drama
Nightingales in the Cocoon,Praveen Giri,Sundar,
Karuppu Pakkam,Broadway Sundar,Raj Kapoor,Drama
Narkaram,John Lee,Vikran,Crime
Naam Katra Isai,Saresh D'seven,unknown,
KanNeera,Kathir Raven S,Kathir Raven S,Romance
COMPANION,Vignesh Paramasivam,Pasupathi Raj,Drama
Yellow Cat in Memory Lane,T.Pandiaraju,T. K. Doraiswamy,Documentary
"Platform Ghosts – Turker, Farmer, Bot",Aarti Sunder,unknown,Documentary
Harbour Chapter 1,Megna,Megna,"Action, Drama"
Dance Today,Unknown,unknown,Drama
Thuvaanam,Sivan Suthan,unknown,
Saayai,Shailesh Nathan,Mukesh,"Drama, Crime, Thriller"
Jenni,B.Nithianandam,unknown,
Siruthuli Peruvellam,Vignesh,Mithran,Drama
Kodai,Unknown,unknown,"Comedy, Drama, Music"
120 KMPH,Unknown,unknown,Drama
The Failed Artist,L. S. Madhesh,L. S. Madhesh,Drama
Demonte Colony 2,R. Ajay Gnanamuthu,Arulnithi,"Horror, Thriller"
Maharaja,Nithilan Saminathan,Vijay Sethupathi,"Action, Thriller"
Vettaiyan,T. J. Gnanavel,Rajinikanth,"Crime, Drama"
The Greatest of All Time,Venkat Prabhu,Vijay,"Action, Drama, Thriller"
Siren,Anthony Bhagyaraj,Jayam Ravi,"Thriller, Crime, Action"
Kanguva,Siva,Suriya,"Drama, Action"
Vaazhai,Mari Selvaraj,Ponvel,"Drama, Family"
Amaran,Rajkumar Periasamy,Sivakarthikeyan,"Action, Drama, War"
Raayan,Dhanush,Dhanush,"Action, Drama, Thriller"
Lubber Pandhu,Tamizharasan Pachamuthu,Harish Kalyan,"Family, Romance, Drama, Comedy"
Kottukkaali,P. S. Vinothraj,Anna Ben,Drama
Akkaran,Arun K Prasad,M. S. Bhaskar,"Thriller, Crime"
Thangalaan,Pa. Ranjith,Vikram,"Adventure, Action, Fantasy, History"
Indian 2: Zero Tolerance,Shankar,Kamal Haasan,"Drama, Action, Thriller"
Aalan,R. Siva,Vetri,Drama
Weapon,Guhan Senniappan,Sathyaraj,"Action, Thriller"
Soorarai Pottru,Sudha Kongara Prasad,Suriya,"Drama, Action"
Captain Miller,Arun Matheswaran,Dhanush,"Action, War"
PT Sir,Karthik Venugopalan,HipHop Tamizha Adhi,"Comedy, Drama"
Bloody Beggar,Sivabalan Muthukumar,Kavin Raj,"Comedy, Drama"
Rathnam,Hari,Vishal Krishna,"Action, Romance"
Star,Elan,Kavin Raj,"Drama, Romance"
Brother,M. Rajesh,Jayam Ravi,"Drama, Family, Comedy"
Meiyazhagan,C. Prem Kumar,Karthi,"Family, Drama"
Athomugam,Sunil Dev,S. P. Siddharth,"Thriller, Drama"
Chennaiyil Vaanam Megamootathudan Kaanapadum,Ramesh Govindarajan,Ramesh Govindarajan,"Thriller, Drama, Mystery"
Saamaniyan,R. Rahesh,Ramarajan,"Action, Drama"
Boat,Chimbu Deven,Yogi Babu,"Comedy, Adventure"
Ayalaan,R. Ravi Kumar,Sivakarthikeyan,"Science Fiction, Action, Adventure"
Pechi,Ramachandran B,Gayathrie Shankar,Horror
Lal Salaam,Aishwarya Rajinikanth,Vishnu Vishal,"Drama, Action"
Lover,Prabhuram Vyas,K. Manikandan,"Romance, Drama"
Raghu Thatha,Suman Kumar,Keerthy Suresh,"Comedy, Drama"
The Boys,Santhosh P. Jayakumar,Santhosh P. Jayakumar,"Comedy, Horror"
Nilavuku En Mel Ennadi Kobam,Dhanush,Pavish,"Romance, Drama"
Viduthalai: Part II,Vetrimaaran,Soori,"Drama, Crime, Action, History"
Pogumidam Vegu Thooramillai,Micheal K.Raja,Vimal,"Thriller, Family, Drama"
Quotation Gang Part 1,Vivek Kumar Kannan,Jackie Shroff,"Crime, Mystery, Action, Thriller"
Vithaikkaaran,Venki,Sathish,"Thriller, Drama, Comedy"
Andhagan,Thyagarajan,Prashanth,"Crime, Thriller"
Double Tuckerr,Meera Mahadhi,Dheeraj,"Fantasy, Comedy"
Aranmanai 4,Sundar C,Sundar C,"Horror, Comedy"
Agrinai,Thanesh Perrabu,Perrabu Viknesh,"Horror, Science Fiction, Thriller"
Joshua Imai Pol Kaakha,Gautham Vasudev Menon,Varun Kamal,"Action, Crime, Thriller"
Guardian,Guru Saravanan,Hansika Motwani,"Horror, Thriller"
Pambattam,V. C. Vadivudaiyan,Jeevan,
Kadaisi Ulaga Por,HipHop Tamizha Adhi,HipHop Tamizha Adhi,"Science Fiction, Action, Thriller"
Boomer Uncle,M. S. Swadees,Oviya Helen,"Horror, Comedy"
Black,Balasubramani KG,Jiiva,"Science Fiction, Mystery, Thriller, Horror"
Karuppu Petti,S. Doss,KC .Prabath,"Comedy, Family, Drama"
Petta Rap,SJ Sinu,Prabhu Deva,"Action, Music"
Por,Bejoy Nambiar,Arjun Das,"Drama, Thriller"
Sir,Bose Venkat,Vimal,
Inga Naan Thaan Kingu,Anand Narayan,Santhanam,"Comedy, Thriller"
Oru Kadha Sollattaa Sir,Kash Villanz,Kash Villanz,"Fantasy, Comedy"
Curry Mee,Kash Villanz,S. Gana,"Comedy, Drama, Family, Music, Romance"
Kiss,Sathish Krishnan,Kavin Raj,
Dopamine @ 2.22,Dhirav,Dhirav,"Thriller, Crime, Drama"
Mazhai Pidikatha Manithan,S. D. Vijay Milton,Vijay Antony,"Action, Thriller"
Vadakkupatti Ramasamy,Karthik Yogi,Santhanam,"Comedy, Drama, Fantasy, Science Fiction"
Kaazh,Mohanraj VJ,Yugendran,Drama
Nandhan,Era. Saravanan,M. Sasikumar,Drama
Mission: Chapter 1,A. L. Vijay,Arun Vijay,"Thriller, Action"
Hot Spot,Vignesh Karthik,Kalaiyarasan,Drama
Rebel,Nikesh . Rs,G. V. Prakash Kumar,"Action, Drama"
Nanban Oruvan Vantha Piragu,Ananth Ram,Ananth Ram,Drama
Phoenix,ANL Arasu,Surya Vijay Sethupathi,Action
Ranam Aram Thavarel,Sherief,Vaibhav Reddy,"Mystery, Thriller"
Chiclets,Muthu.M,Sathvik Varma,Drama
Singapore Saloon,Gokul,RJ Balaji,"Comedy, Drama, Family"
Jama,Pari Elavazhagan,Pari Elavazhagan,Drama
Garudan,R. S. Durai Senthilkumar,Soori,"Action, Crime, Thriller"
Siragan,Venkateshwaraj,Gajaraj,"Crime, Thriller"
7/G,N Haroon,Sonia Agarwal,Horror
Pon Ondru Kanden,V. Priya,Ashok Selvan,"Romance, Comedy"
Blue Star,S. Jayakumar,Ashok Selvan,Drama
Romeo,Vinayak Vaithianathan,Vijay Antony,"Romance, Comedy, Drama"
Devil,G. R. Adithya,Poorna,"Horror, Thriller"
Rasavathi,Santha Kumar,Arjun Das,"Drama, Thriller, Romance"
Veerayi Makkal,Nagaraj Karuppaiah,Suresh Nandha,"Family, Drama"
White Rose,K Rajashekar,Anandhi,"Crime, Thriller"
Fire on the Water,Shanjhey Kumar Perumal,Karnan Kanapathy,"Drama, Comedy"
Hitler,Dhana,Vijay Antony,"Action, Drama"
Saala,S.D. Manipaul,Dheeran Shree Natraj,"Action, Drama"
Eleven,Lokkesh Ajls,Naveen Chandra,"Crime, Thriller"
Ini Oru Kadhal Seivom,S. Hariharan,Ajay Balakrishna,"Romance, Comedy"
Thozhar Cheguevara,Alex A D,Sathyaraj,"Action, Drama"
Dhil Raja,A. Venkatesh,Vijay Sathya,"Action, Drama"
Haraa,Vijay Sri G,Mohan,"Action, Thriller"
Hit List,Sooryakathir Kaakkallar,Vijay Kanishka,"Crime, Drama, Thriller"
Vasco Da Gama,R.G. Krishnan,Nakul,"Comedy, Thriller"
Maya Puthagam,Rama Jayaprakash,Ashok Kumar Balakrishnan,"Horror, Thriller"
Ettum Varai Ettu,Vel Wishvaa,Nandha kumar,Drama
Veedu,Sivakumar Vengadesan,Siva,Drama
Aaragan,Arun KR,Michael Thangadurai,"Fantasy, Thriller"
Oru Nodi,B. Manivarman,Thaman Kumar,"Crime, Thriller, Drama"
Happy Birthday Luci,S.M.Mohammed Azarudeen,Karthik Sasidharan,"Crime, Horror"
Il Tha Ka Sai Aa,Sadha Nadar,Sadha Nadar,Thriller
Deepavali Bonus,Jeyabal .J,Vikranth,"Family, Drama"
Idi Minnal Kadhal,Balaji Madhavan,Ciby Bhuvana Chandran,"Action, Drama"
Dandupalayam,Tiger Venkaat,Sonia Agarwal,"Crime, Thriller"
Konjam Pesinaal Yenna,Giri Murphy,Vinoth Kishan,"Comedy, Romance"
Sattam En Kaiyil,Chachi,Sathish,Thriller
Rail,Bhaskar Sakthi,Kungumaraj Muthusamy,Drama
Thookudurai,Dennis Manjunath,Yogi Babu,"Comedy, Drama"
Nalla Perai Vaanga Vendum Pillaigale,Prasath Ramar,Senthur Pandian,Comedy
Kanmani Paappa,Manivarman,Miya Sree,"Thriller, Horror"
The Verdict,Krishna Sankar,Suhasini,"Crime, Drama"
Veppam Kulir Mazhai,Pascal Vedamuthu,Dhirav,Thriller
Kozhipannai Chelladurai,Seenu Ramasamy,Aegan A,Drama
Seeran,Durai K Murugan,James Karthik,"Action, Drama"
Kavundampalayam,Ranjith,Ranjith,"Action, Drama"
Rooban,Ayyappan Subramani,Vijay Prasath,
Yaavarum Vallavare,N.A. Rajendra Chakravarthy,Samuthirakani,"Drama, Thriller"
Lemons Are Not Sour,Marun,Mekha Rajan,"Drama, Family, Romance"
Travel La Oru Kadhal,Krish,Lee,"Romance, Drama"
Local Sarakku,S. P. Rajkumar,Dinesh,Comedy
Minmini,Halitha Shameem,Esther Anil,Drama
DeAr,Anand Ravichandran,G. V. Prakash Kumar,"Comedy, Romance"
Dhanussh,S. Mathan,Mano,
Ippadiku Kadhal,Bharath Mohan,Bharath Srinivasan,"Romance, Drama"
The Akaali,Mohamed Asif Hameed,Nassar,Thriller
Bujji at Anupatti,Raam Kandasamy,Karthik Vijay,Drama
Arimapatti Sakthivel,Ramesh Kandhasamy,Charle,Drama
Tractor,Ramesh Yanthra,Prabhakaran Jayaraman,Drama
P2,Sivam,Bhagath Vikranth,"Horror, Thriller"
Operation Laila,A. Venkatesh,Srikanth,"Horror, Thriller"
Amigo Garage,Prasanth Nagarajan,Mahendran,"Action, Thriller"
Anjaamai,S.P. Subburaman,Vidharth,"Drama, Family"
Birthmark,Vikram Shreedharan,Shabeer Kallarakkal,"Thriller, Drama"
Adharma Kadhaigal,Kamaraj Vel,Vetri,"Thriller, Drama"
Kalvan,P. V. Shankar,G. V. Prakash Kumar,Drama
Black Gold,Takashi Sugimoto,unknown,Documentary
Election,Thamizh,Vijay Kumar,"Action, Thriller"
Oru Thavaru Seidhal,Mani Dhamodharan,M. S. Bhaskar,"Crime, Thriller"
Narkarappor,Shree Vetri,Lingesh,Drama
E-Mail,SR Rajan,Ashok Kumar Balakrishnan,Action
J.Baby,Suresh Mari,Urvashi,Drama
Light House,Sree Krishna,Ananth Nag,"Crime, Thriller"
Padikkada Pakkangal,Selvam Mathappan,Yashika Anand,Thriller
Kannethire,Vignesh,Hariessvar,"Drama, Thriller"
HMM – Hug Me More,Narasimman Packirisamy,Narasimman Packirisamy,Horror
Vaa Pagandaya,Jayakumar Balaraman,Vijaya Dinesh,Romance
Park,E.K.Murugan,Thaman Kumar,"Thriller, Horror"
The Proof,I Radhika,Sai Dhanshika,"Action, Crime, Thriller"
Teenz,R. Parthiban,Kritika Balasubramanian,"Drama, Adventure, Thriller"
Vallavan Vaguthathada,Vinayek Durai,Tej Charanraj,"Crime, Drama, Thriller"
Iravin kangal,Pop Suresh,Pop Suresh,"Science Fiction, Thriller"
Kaaduvetty,Solai Arumugam,R. K. Suresh,"Drama, Action"
Mangai,Gubenthiran Kamatchi,Anandhi,Drama
Dhonima,Jagadeesan Subu,Kaali Venkat,Drama
Aalakaalam,Jaya Krishnamoorthy,Easwari Rao,Drama
Marakkuma Nenjam,Raako.Yoagandran,Rakshan,Drama
Pagalariyaan,Murugan Raj,Vetri,Thriller
Sevappi,M. S. Raaja Rajeshwaran,Rishikanth,Drama
Project One,Sayuj,Harsha Gupta,Comedy
Byri: Pagam 1,John Glady,Syed Majeed,"Action, Drama"
Unarvugal Thodarkadhai,Balu Sharma,Hrishikesh,"Romance, Drama"
Laandhar,Sajisaleem,Vidharth,"Crime, Thriller"
Pithala Maathi,Manika Vidya,Umapathy Ramaiah,"Comedy, Romance"
Kazhu Maram,Kottachi,Kottachi,Drama
PEI KADHAI 2,MURALIDHARAN,AAKASH,"Horror, Comedy"
OFF-SCREEN,Abhiraj C K,Sai srikanth,"Romance, Comedy"
Kurangu Pedal,Kamalakannan,Kaali Venkat,Drama
Kaa,Nanjil,Andrea Jeremiah,Thriller
Kaazh,Mohanraj V J,Yugendran,Thriller
Singappenney,J. S. B. Sathish Kumar,Shilpa Manjunath,
Pitha 23:23,S. Sugan Kumar,Aadesh Bala,"Crime, Thriller"
Finder,Vinoth Rajendran,Charle,Thriller
Amigo,Praveen Kumar B,Arjun Somayajula,"Fantasy, Horror, Thriller"
Enimey Nangadha Head Lines,Saipraba Meena,Devalla Kavitha,Action
Never Escape,Dsri Aravind Deva Raj,Robert,Thriller
Crimes and Diamonds,Vidhun Chandragupthan,Mukesh,Crime
Kumbaari,Kevin Joseph,Vijay Vishwa,"Romance, Comedy"
THE ROOTS OF THE LEGS,Lingeshwer S,Subaya,"Documentary, Drama"
Unmai Kadhai,Prashanth Swaminathan,Jayanth V,Thriller
Niyathi,Naveen Kumar,Naveen Kumar,"Crime, Thriller"
Netru Indha Neram,Sai Roshan K.R,Shariq Hassan,"Mystery, Thriller"
Amma's Pride,Shiva Krish,unknown,Documentary
Naanum Oru Azhagi,Pozhikkarayan .K,K. Arun,"Romance, Drama"
Rambai Sonna Kadhai,Diwakar Vijayakumar,Uvais Khan,Drama
Oozhi,Ranjith Joseph,Akash Thiyagalingam,"History, Drama"
Sathamindri Mutham Tha,Rajdev,Srikanth,"Romance, Thriller"
Aranam,Priyan,Priyan,"Horror, Crime, Thriller"
Birthday Bumps,Kamalesh Indira,Deepak Karthikeya,"Drama, Comedy"
Emagadhagan,Kishan Raj,Karthik Sriram,Drama
Time,Eashwar Gopala Krishnan,Devagaash,"Science Fiction, Drama"
Living Faith,Austin Solomon Raj,Austin Solomon Raj,Drama
Kathir,N Praveen,Kanchivan,"Mystery, Horror, Thriller"
Journey,Visakesa Chandrasekaram,unknown,Documentary
Ingu Mirugangal VaazhumIdam,S. Sasikumar,Fine John,"Crime, Thriller"
Eppura,AR Raajesh,Vijay Murugan,Comedy
Fire on Water,Sun-J Perumal,unknown,Drama
Maatna Gaali,N Praveen,Mukesh,"Crime, Comedy, Thriller"
Rail,Unknown,unknown,"Drama, Family"
Glassmates,Unknown,unknown,"Comedy, Drama"
Kantara,Rishab Shetty,"Rishab Shetty, Sapthami Gowda, Kishore Kumar G., Achyuth Kumar","Action, Adventure, Drama"
The Dark Knight,Christopher Nolan,"Christian Bale, Heath Ledger, Aaron Eckhart, Michael Caine","Action, Crime, Drama"
The Lord of the Rings: The Return of the King,Peter Jackson,"Elijah Wood, Viggo Mortensen, Ian McKellen, Orlando Bloom","Action, Adventure, Drama"
Inception,Christopher Nolan,"Leonardo DiCaprio, Joseph Gordon-Levitt, Elliot Page, Ken Watanabe","Action, Adventure, Sci-Fi"
The Lord of the Rings: The Two Towers,Peter Jackson,"Elijah Wood, Ian McKellen, Viggo Mortensen, Orlando Bloom","Action, Adventure, Drama"
The Lord of the Rings: The Fellowship of the Ring,Peter Jackson,"Elijah Wood, Ian McKellen, Orlando Bloom, Sean Bean","Action, Adventure, Drama"
The Matrix,"Lana Wachowski, Lilly Wachowski","Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss, Hugo Weaving","Action, Sci-Fi"
The Empire Strikes Back,Irvin Kershner,"Mark Hamill, Harrison Ford, Carrie Fisher, Billy Dee Williams","Action, Adventure, Fantasy"
Terminator 2: Judgment Day,James Cameron,"Arnold Schwarzenegger, Linda Hamilton, Edward Furlong, Robert Patrick","Action, Sci-Fi"
Star Wars,George Lucas,"Mark Hamill, Harrison Ford, Carrie Fisher, Alec Guinness","Action, Adventure, Fantasy"
Seppuku,Masaki Kobayashi,"Tatsuya Nakadai, Akira Ishihama, Shima Iwashita, Tetsurô Tanba","Action, Drama, Mystery"
Shichinin no samurai,Akira Kurosawa,"Toshirô Mifune, Takashi Shimura, Keiko Tsushima, Yukiko Shimazaki","Action, Drama"
Kaithi,Lokesh Kanagaraj,"Karthi, Narain, Arjun Das, George Maryan","Action, Adventure, Crime"
Asuran,Vetrimaaran,"Dhanush, Manju Warrier, Prakash Raj, Pasupathy","Action, Drama"
Sita Ramam,Hanu Raghavapudi,"Dulquer Salmaan, Mrunal Thakur, Rashmika Mandanna, Sumanth","Action, Drama, Mystery"
Gladiator,Ridley Scott,"Russell Crowe, Joaquin Phoenix, Connie Nielsen, Oliver Reed","Action, Adventure, Drama"
Léon,Luc Besson,"Jean Reno, Gary Oldman, Natalie Portman, Danny Aiello","Action, Crime, Drama"
Vikram,Lokesh Kanagaraj,"Kamal Haasan, Vijay Sethupathi, Fahadh Faasil, Narain","Action, Thriller"
Spider-Man: Into the Spider-Verse,"Bob Persichetti, Peter Ramsey, Rodney Rothman","Shameik Moore, Jake Johnson, Hailee Steinfeld, Mahershala Ali","Animation, Action, Adventure"
Avengers: Endgame,"Anthony Russo, Joe Russo","Robert Downey Jr., Chris Evans, Mark Ruffalo, Chris Hemsworth","Action, Adventure, Drama"
